number	source	itemNum	status	優先順位	day	Part	word	tittle	audioFile	pronunciation	meaning	audioPath	exampleFile	example
1	キクタンTOEIC TEST SCORE 990	0001	微妙	名詞：超必修240	1	"2,3"	itinerary	旅行計画、旅程（表）	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\itinerary.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\itinerary.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\itinerary.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\itinerary_sent.mp3	"arrange one's itinerary　旅程を作る
plan an itinerary（旅行計画を立てる）
 We had to change the itinerary because of bad weather.（悪天候のため、私たちは旅行計画を変更しなければならなかった）"
2	キクタンTOEIC TEST SCORE 990	0002	微妙	名詞：超必修240	1	4	warranty	保証、保証書	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\warranty.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\warranty.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\warranty.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\warranty_sent.mp3	"be still under warranty（保証期間中である）
The computer comes with a one-year warranty against defects.（そのコンピューターは欠陥に対する1年の保証がついている）"
3	キクタンTOEIC TEST SCORE 990	0003	微妙	名詞：超必修240	1	7	merchandise	商品、製品／～を売買する	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\merchandise.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\merchandise.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\merchandise.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\merchandise_sent.mp3	"defective merchandise（欠陥商品）
The store carries a wide variety of merchandise.（その店は多種多様な商品を扱っている）"
4	キクタンTOEIC TEST SCORE 990	0004	覚えた	名詞：超必修240	1	7	questionnaire	アンケート	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\questionnaire.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\questionnaire.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\questionnaire.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\questionnaire_sent.mp3	"fill out [in] a questionnaire（アンケートに記入する）
Please fill out the questionnaire and send it to the address
below.（アンケートに記入して、下記の住所に送ってください）"
5	キクタンTOEIC TEST SCORE 990	0005	覚えていない	名詞：超必修240	1	4	venue	会場、開催地	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\venue.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\venue.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\venue.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\venue.mp3	"a conference [an exhibition, a concert] venue 会議［展示，コンサート］会場
the venue for the match 試合会場
an ideal venue for international conferences（国際会議の理想的な
開催地）"
6	キクタンTOEIC TEST SCORE 990	0006	覚えた	名詞：超必修240	1	"2,3"	brochure	小冊子、パンフレット	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\brochure.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\brochure.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\brochure.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\brochure.mp3	"a travel brochure（旅行パンフレット）
This brochure includes detailed information about the product.（このパンフレットにはその製品の詳しい情報が含まれている）"
7	キクタンTOEIC TEST SCORE 990	0007	覚えた	名詞：超必修240	1	3	inventory	在庫、在庫品、棚卸	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\inventory.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\inventory.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\inventory.png	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\inventory.mp3	"the volume of inventories（在庫量）
take inventory（棚卸しをする）
We have a large inventory of quality used automobiles.（当店では高品質の中古車を大量に取りそろえている）"
8	キクタンTOEIC TEST SCORE 990	0008	微妙	名詞：超必修240	1	7	refund	払い戻す	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\refund.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\refund.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\refund.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\refund.mp3	"ask for [get] a refund（払い戻しを求める［受ける］）
You can return any purchase within seven days for a full refund or exchange.（7日以内であれば、全額払い戻しか交換のため購入品を返品することができる）"
9	キクタンTOEIC TEST SCORE 990	0009	覚えた	名詞：超必修240	1	1	warehouse	倉庫	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\warehouse.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\warehouse.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\warehouse.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\warehouse.mp3	"a vacant warehouse（空の倉庫）
The products are stored in the warehouse.（製品が倉庫に保管されている）"
10	キクタンTOEIC TEST SCORE 990	0010	覚えた	名詞：超必修240	1	7	merger	合併、統合	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\merger.mp3	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\pronunciation\merger.PNG	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\meaning\merger.PNG	/Users/motoyama/Documents/TOEIC/PastQuestions/	キクタンTOEIC(R) L&Rテスト　SCORE 990\7020010_audio01\Chapter1\day1\sentence\merger.mp3	"mergers and acquisitions（［企業の］合併買収） 略はM & A
The merger of the two companies has created the world's biggest pharmaceutical company.（両社の合併によって世界最大の製薬会社が誕生した）"
